user_id,transaction_date,region,city,product_category,sale_amount,store_id,price,age,subscription,status,raw_timestamp,email,username
CG-12520,11/8/2016,South,Henderson,Furniture,261.96,ST_42420,261.96,41,Basic,Active,2016-11-08 12:00:00,cg-12520@example.com,cg-12520
CG-12520,11/8/2016,South,Henderson,Furniture,731.94,ST_42420,731.94,31,Standard,Active,2016-11-08 12:00:00,cg-12520@example.com,cg-12520
DV-13045,6/12/2016,West,Los Angeles,Office Supplies,14.62,ST_90036,14.62,24,Premium,Active,2016-06-12 12:00:00,dv-13045@example.com,dv-13045
SO-20335,10/11/2015,South,Fort Lauderdale,Furniture,957.5775,ST_33311,957.5775,53,Standard,Active,2015-10-11 12:00:00,so-20335@example.com,so-20335
SO-20335,10/11/2015,South,Fort Lauderdale,Office Supplies,22.368,ST_33311,22.368,41,Standard,Active,2015-10-11 12:00:00,so-20335@example.com,so-20335
BH-11710,6/9/2014,West,Los Angeles,Furniture,48.86,ST_90032,48.86,44,Premium,,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Office Supplies,7.28,ST_90032,7.28,54,Premium,Inactive,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Technology,907.152,ST_90032,907.152,55,Premium,Active,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Office Supplies,18.504,ST_90032,18.504,47,Basic,Inactive,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Office Supplies,114.9,ST_90032,114.9,44,Standard,Active,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Furniture,1706.184,ST_90032,1706.184,56,Standard,Active,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
BH-11710,6/9/2014,West,Los Angeles,Technology,911.424,ST_90032,911.424,32,Premium,Active,2014-06-09 12:00:00,bh-11710@example.com,bh-11710
AA-10480,4/15/2017,South,Concord,Office Supplies,15.552,ST_28027,15.552,43,Standard,Active,2017-04-15 12:00:00,aa-10480@example.com,aa-10480
IM-15070,12/5/2016,West,Seattle,Office Supplies,407.976,ST_98103,407.976,18,Standard,Active,2016-12-05 12:00:00,im-15070@example.com,im-15070
HP-14815,11/22/2015,Central,Fort Worth,Office Supplies,68.81,ST_76106,68.81,21,Standard,Inactive,2015-11-22 12:00:00,hp-14815@example.com,hp-14815
HP-14815,11/22/2015,Central,Fort Worth,Office Supplies,2.544,ST_76106,2.544,46,Basic,Active,2015-11-22 12:00:00,hp-14815@example.com,hp-14815
PK-19075,11/11/2014,Central,Madison,Office Supplies,665.88,ST_53711,665.88,18,Standard,Active,2014-11-11 12:00:00,pk-19075@example.com,pk-19075
AG-10270,5/13/2014,West,West Jordan,Office Supplies,55.5,ST_84084,55.5,60,Standard,Active,2014-05-13 12:00:00,ag-10270@example.com,ag-10270
ZD-21925,8/27/2014,West,San Francisco,Office Supplies,8.56,ST_94109,8.56,63,Standard,Active,2014-08-27 12:00:00,zd-21925@example.com,zd-21925
ZD-21925,8/27/2014,West,San Francisco,Technology,213.48,ST_94109,213.48,39,Basic,Inactive,2014-08-27 12:00:00,zd-21925@example.com,zd-21925
ZD-21925,8/27/2014,West,San Francisco,Office Supplies,22.72,ST_94109,22.72,28,Premium,Active,2014-08-27 12:00:00,zd-21925@example.com,zd-21925
KB-16585,12/9/2016,Central,Fremont,Office Supplies,19.46,ST_68025,19.46,27,Standard,Active,2016-12-09 12:00:00,kb-16585@example.com,kb-16585
KB-16585,12/9/2016,Central,Fremont,Office Supplies,60.34,ST_68025,60.34,34,Standard,Inactive,2016-12-09 12:00:00,kb-16585@example.com,kb-16585
SF-20065,7/16/2017,East,Philadelphia,Furniture,71.372,ST_19140,71.372,53,Premium,Active,2017-07-16 12:00:00,sf-20065@example.com,sf-20065
EB-13870,9/25/2015,West,Orem,Furniture,1044.63,ST_84057,1044.63,64,Premium,Active,2015-09-25 12:00:00,eb-13870@example.com,eb-13870
EH-13945,1/16/2016,West,Los Angeles,Office Supplies,11.648,ST_90049,11.648,43,Standard,Active,2016-01-16 12:00:00,eh-13945@example.com,eh-13945
EH-13945,1/16/2016,West,Los Angeles,Technology,90.57,ST_90049,90.57,38,Premium,Active,2016-01-16 12:00:00,eh-13945@example.com,eh-13945
TB-21520,9/17/2015,East,Philadelphia,Furniture,3083.43,ST_19140,3083.43,30,Standard,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Office Supplies,9.618,ST_19140,9.618,26,Standard,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Furniture,124.2,ST_19140,,28,Standard,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Office Supplies,3.264,ST_19140,3.264,28,Premium,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Office Supplies,86.304,ST_19140,,23,Basic,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Office Supplies,6.858,ST_19140,6.858,18,Premium,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
TB-21520,9/17/2015,East,Philadelphia,Office Supplies,15.76,ST_19140,,23,Standard,Active,2015-09-17 12:00:00,tb-21520@example.com,tb-21520
