Customer ID,Customer Name,Segment,home_region,total_orders,total_quantity,total_sales,total_profit
BP-11290,Beth Paige,Consumer,Central,8,54,2895.58,-223.76
MO-17950,Michael Oakman,Consumer,Central,3,16,244.28,-63.61
JM-15265,Janet Molinari,Corporate,Central,6,57,3054.87,812.81
TS-21655,Trudy Schmidt,Consumer,Central,6,53,3423.31,233.02
RW-19630,Rob Williams,Corporate,Central,10,57,3889.74,838.83
JW-16075,Julia West,Consumer,South,5,40,1628.62,199.66
LM-17065,Liz MacKendrick,Consumer,South,6,35,1686.85,33.42
MG-17695,Maureen Gnade,Consumer,East,4,29,2322.72,-187.89
ZZ-90001,Nikita Solanki,Consumer,West,1,3,245.5,62.1
ZZ-90002,Devraj Oberoi,Corporate,East,1,5,1120.0,305.75
ZZ-90003,Farah Qureshi,Home Office,Central,2,4,560.2,140.3
ZZ-90004,Marco Bellini,Consumer,South,1,2,89.99,20.15
ZZ-90005,Priyanka Naidu,Corporate,West,1,6,2140.75,610.4
