Customer ID,Customer Name,Segment,home_region,total_orders,total_quantity,total_sales,total_profit
AA-10315,Alex Avila,Consumer,Central,5,30,5563.53,-362.88
AA-10375,Allen Armold,Consumer,East,9,41,1056.34,277.38
AA-10480,Andrew Allen,Consumer,Central,4,36,1790.5,435.83
AA-10645,Anna Andreadi,Consumer,East,6,64,5086.94,857.8
AB-10015,Aaron Bergman,Consumer,West,3,13,886.15,129.35
AB-10060,Adam Bellavance,Home Office,East,8,56,7755.59,2054.59
AB-10105,Adrian Barton,Consumer,Central,10,73,14473.56,5444.81
AB-10150,Aimee Bixby,Consumer,East,5,37,966.66,313.66
AB-10165,Alan Barnes,Consumer,West,8,48,1113.8,220.81
AB-10255,Alejandro Ballentine,Home Office,West,9,39,914.52,264.57
AB-10600,Ann Blume,Corporate,West,4,38,1515.82,-274.96
AC-10420,Alyssa Crouse,Corporate,West,3,17,925.77,-62.13
AC-10450,Amy Cox,Consumer,South,7,43,5527.76,1366.01
AC-10615,Ann Chong,Corporate,East,5,59,2537.61,298.83
AC-10660,Anna Chung,Consumer,Central,5,16,657.3,-28.7
AD-10180,Alan Dominguez,Home Office,East,8,40,6106.88,1869.93
AF-10870,Art Ferguson,Consumer,East,7,51,2052.89,317.97
AF-10885,Art Foster,Consumer,East,4,37,861.54,-163.12
AG-10270,Alejandro Grove,Consumer,Central,5,58,2582.89,732.74
AG-10300,Aleksandra Gannaway,Corporate,West,4,16,367.56,59.29
AG-10330,Alex Grayson,Consumer,Central,5,47,661.02,-5.14
AG-10390,Allen Goldenen,Consumer,East,5,33,200.93,69.28
AG-10495,Andrew Gjertsen,Corporate,South,8,93,2356.66,295.67
AG-10525,Andy Gerbode,Corporate,East,4,33,1455.03,-152.76
AG-10675,Anna Gayman,Consumer,South,7,54,3488.98,-246.43
AG-10765,Anthony Garverick,Home Office,Central,4,20,170.54,-8.43
AG-10900,Arthur Gainer,Consumer,West,10,92,4510.67,343.68
AH-10030,Aaron Hawkins,Corporate,East,7,54,1744.69,365.22
AH-10075,Adam Hart,Corporate,East,10,75,3250.26,281.19
AH-10120,Adrian Hane,Home Office,West,7,65,1735.45,-2.31
AH-10195,Alan Haines,Corporate,East,4,28,1587.46,-378.55
AH-10210,Alan Hwang,Consumer,West,9,53,4805.32,1308.55
AH-10465,Amy Hunt,Consumer,Central,5,35,2495.41,-196.12
AH-10585,Angele Hood,Consumer,West,4,17,738.49,83.96
AH-10690,Anna Häberlin,Corporate,South,12,102,7888.18,1298.02
AI-10855,Arianne Irving,Consumer,West,10,72,4375.77,867.73
AJ-10780,Anthony Jacobs,Corporate,East,7,62,4867.38,150.71
AJ-10795,Anthony Johnson,Corporate,West,7,88,4501.31,1158.71
AJ-10945,Ashley Jarboe,Consumer,Central,7,40,1839.22,521.14
AJ-10960,Astrea Jones,Consumer,East,3,22,629.22,60.43
AM-10360,Alice McCarthy,Corporate,West,5,48,813.98,194.99
AM-10705,Anne McFarland,Consumer,South,8,81,5663.97,1085.73
AO-10810,Anthony O'Donnell,Corporate,West,1,2,161.28,12.1
AP-10720,Anne Pryor,Home Office,East,8,85,1638.45,285.79
AP-10915,Arthur Prichep,Consumer,West,10,102,3323.46,579.31
AR-10345,Alex Russell,Corporate,East,4,18,1055.68,-221.05
AR-10405,Allen Rosenblatt,Corporate,East,5,29,2236.1,-98.76
AR-10510,Andrew Roberts,Consumer,East,5,33,264.83,43.67
AR-10540,Andy Reiter,Consumer,East,6,33,6608.45,2884.62
AR-10570,Anemone Ratner,Consumer,South,1,6,88.15,32.63
AR-10825,Anthony Rawles,Corporate,West,8,54,4523.38,494.84
AS-10045,Aaron Smayling,Corporate,South,7,48,3050.64,-253.57
AS-10090,Adam Shillingsburg,Consumer,East,9,81,3255.23,64.54
AS-10135,Adrian Shami,Home Office,East,2,9,58.82,21.85
AS-10225,Alan Schoenberger,Corporate,West,5,41,4260.78,719.78
AS-10240,Alan Shonely,Consumer,South,7,39,584.65,33.72
AS-10285,Alejandro Savely,Corporate,Central,6,39,3214.21,354.63
AS-10630,Ann Steele,Home Office,South,7,34,833.35,136.49
AT-10435,Alyssa Tate,Home Office,West,6,28,1171.78,100.88
AT-10735,Annie Thurman,Consumer,East,10,60,3831.79,974.11
AW-10840,Anthony Witt,Consumer,West,4,24,649.38,65.77
AW-10930,Arthur Wiediger,Home Office,Central,7,68,2852.95,-104.55
AY-10555,Andy Yotov,Corporate,West,4,34,496.99,103.35
AZ-10750,Annie Zypern,Consumer,West,6,40,1621.97,154.95
BB-10990,Barry Blumstein,Corporate,West,5,26,744.37,11.58
BB-11545,Brenda Bowman,Corporate,Central,9,83,6765.67,1015.08
BC-11125,Becky Castell,Home Office,West,9,60,2933.63,251.6
BD-11320,Bill Donatelli,Consumer,West,12,75,5718.49,1094.5
BD-11500,Bradley Drucker,Consumer,Central,6,49,4411.16,1142.12
BD-11560,Brendan Dodson,Home Office,West,2,11,320.54,116.71
BD-11605,Brian Dahlen,Consumer,South,7,74,3288.44,634.85
BD-11620,Brian DeCherney,Consumer,East,6,27,1538.04,206.76
BD-11635,Brian Derr,Consumer,East,3,19,582.62,141.53
BD-11725,Bruce Degenhardt,Consumer,South,6,29,1526.48,333.98
BD-11770,Bryan Davis,Consumer,East,6,21,658.44,141.26
BE-11335,Bill Eplett,Home Office,Central,5,35,4204.68,1487.77
BE-11410,Bobby Elias,Consumer,Central,5,19,2261.41,755.92
BE-11455,Brad Eason,Home Office,East,6,40,1727.68,139.2
BF-10975,Barbara Fisher,Corporate,South,7,38,599.79,227.44
BF-11005,Barry Franz,Home Office,West,4,26,1333.87,-291.38
BF-11020,Barry Französisch,Corporate,Central,8,78,2888.49,302.02
BF-11080,Bart Folk,Consumer,East,3,29,272.95,110.93
BF-11170,Ben Ferrer,Home Office,West,11,102,5907.92,1538.21
BF-11215,Benjamin Farhat,Home Office,West,4,48,1585.15,523.21
BF-11275,Beth Fritzler,Corporate,West,3,11,791.97,25.87
BG-11035,Barry Gonzalez,Consumer,South,8,35,2798.89,-711.43
BG-11695,Brooke Gillingham,Corporate,East,6,24,1874.2,107.57
BG-11740,Bruce Geld,Consumer,West,6,22,1006.31,119.35
BH-11710,Brosina Hoffman,Consumer,South,8,97,6255.37,802.79
BK-11260,Berenike Kampe,Consumer,West,6,58,659.1,-63.76
BM-11140,Becky Martin,Consumer,Central,4,64,11789.59,-1659.96
BM-11575,Brendan Murry,Corporate,East,6,22,808.14,95.58
BM-11650,Brian Moss,Corporate,Central,11,95,7294.14,2199.28
BM-11785,Bryan Mills,Consumer,East,10,44,1338.81,137.74
BN-11470,Brad Norvell,Corporate,South,4,15,265.29,36.61
BN-11515,Bradley Nguyen,Consumer,West,5,79,1459.37,340.71
BO-11350,Bill Overfelt,Corporate,East,5,43,2682.7,278.78
BO-11425,Bobby Odegard,Consumer,South,2,7,130.83,59.45
BP-11050,Barry Pond,Corporate,East,5,30,983.42,209.78
BP-11095,Bart Pistole,Corporate,West,12,70,2442.01,433.98
BP-11155,Becky Pak,Consumer,East,6,32,1697.84,647.38
BP-11185,Ben Peterman,Corporate,West,9,69,3675.78,363.6
BP-11230,Benjamin Patterson,Consumer,West,5,14,1181.47,-197.27
BP-11290,Beth Paige,Consumer,Central,7,51,2475.08,-319.06
BS-11365,Bill Shonely,Corporate,East,5,39,10501.66,2616.06
BS-11380,Bill Stewart,Corporate,West,5,58,3887.77,-17.53
BS-11590,Brendan Sweed,Corporate,East,6,41,2454.94,381.78
BS-11665,Brian Stugart,Consumer,West,3,47,3288.06,238.74
BS-11755,Bruce Stewart,Consumer,West,7,45,2562.37,-113.3
BS-11800,Bryan Spruell,Home Office,East,2,22,949.43,194.05
BT-11305,Beth Thompson,Home Office,West,5,33,2567.67,417.59
BT-11395,Bill Tyler,Corporate,West,6,38,2186.62,257.92
BT-11440,Bobby Trafton,Consumer,East,4,16,603.86,-77.53
BT-11485,Brad Thomas,Home Office,East,2,11,415.18,126.87
BT-11530,Bradley Talbott,Home Office,West,5,44,2684.46,409.5
BT-11680,Brian Thompson,Consumer,East,7,88,3196.77,447.75
BV-11245,Benjamin Venier,Corporate,Central,5,49,1523.22,315.22
BW-11065,Barry Weirich,Consumer,East,3,8,385.51,-58.29
BW-11110,Bart Watters,Corporate,West,8,74,4750.27,921.26
BW-11200,Ben Wallace,Consumer,East,6,49,1738.41,247.0
CA-11965,Carol Adams,Corporate,Central,6,29,3789.73,1143.38
CA-12055,Cathy Armstrong,Home Office,Central,5,49,1679.65,211.26
CA-12265,Christina Anderson,Consumer,West,9,65,2648.28,279.62
CA-12310,Christine Abelman,Corporate,East,4,25,1421.94,246.02
CA-12775,Cynthia Arntzen,Consumer,East,7,72,3041.54,204.49
CB-12025,Cassandra Brandow,Consumer,East,10,122,6076.15,150.21
CB-12415,Christy Brittain,Consumer,East,8,44,1949.17,272.39
CB-12535,Claudia Bergmann,Corporate,East,8,74,4246.41,1049.56
CC-12100,Chad Cunningham,Home Office,West,6,46,1770.88,208.59
CC-12145,Charles Crestani,Consumer,West,7,31,2471.64,392.28
CC-12220,Chris Cortes,Consumer,West,12,81,3913.33,393.96
CC-12370,Christopher Conant,Consumer,East,5,34,12129.01,2177.05
CC-12430,Chuck Clark,Home Office,East,10,63,2870.0,424.66
CC-12475,Cindy Chapman,Consumer,East,9,40,1659.41,154.85
CC-12550,Clay Cheatham,Consumer,West,3,14,113.81,33.87
CC-12610,Corey Catlett,Corporate,South,7,39,2540.6,331.43
CC-12670,Craig Carreira,Consumer,South,7,47,2269.67,187.84
CC-12685,Craig Carroll,Consumer,South,4,51,2854.07,850.16
CD-11920,Carlos Daly,Consumer,East,5,35,2033.94,426.66
CD-11980,Carol Darley,Consumer,Central,3,22,639.78,-206.72
CD-12280,Christina DeMoss,Consumer,East,2,39,1205.58,233.03
CD-12790,Cynthia Delaney,Home Office,West,5,49,1860.71,403.84
CG-12040,Catherine Glotzbach,Home Office,East,6,37,904.42,86.51
CG-12520,Claire Gute,Consumer,Central,3,14,1148.8,169.93
CH-12070,Cathy Hwang,Home Office,East,3,13,1537.21,195.15
CJ-11875,Carl Jackson,Corporate,East,1,5,16.5,1.65
CJ-12010,Caroline Jumper,Consumer,East,8,83,11164.99,858.74
CK-12205,Chloris Kastensmidt,Consumer,East,13,122,3154.72,141.28
CK-12325,Christine Kargatis,Home Office,East,5,46,2945.31,261.22
CK-12595,Clytie Kelty,Consumer,East,11,108,2372.66,497.71
CK-12760,Cyma Kinney,Corporate,East,9,64,1582.14,-338.43
CL-11890,Carl Ludwig,Consumer,East,4,24,1261.99,328.08
CL-12565,Clay Ludtke,Consumer,West,12,106,10880.49,1933.78
CL-12700,Craig Leslie,Home Office,West,5,34,2353.53,229.01
CM-11815,Candace McMahon,Corporate,West,6,38,1673.81,214.46
CM-11935,Carlos Meador,Consumer,South,2,18,565.36,-43.73
CM-12115,Chad McGuire,Consumer,East,4,35,1661.61,409.07
CM-12160,Charles McCrossin,Consumer,East,6,23,2533.29,-394.37
CM-12190,Charlotte Melton,Consumer,Central,6,21,1475.14,91.2
CM-12235,Chris McAfee,Consumer,South,5,28,2305.68,365.04
CM-12385,Christopher Martinez,Consumer,South,4,34,8953.96,3899.89
CM-12445,Chuck Magee,Consumer,West,3,32,288.0,64.43
CM-12655,Corinna Mitchell,Home Office,West,6,42,6339.54,1572.46
CM-12715,Craig Molinari,Corporate,Central,4,57,3984.43,176.31
CP-12085,Cathy Prescott,Corporate,Central,8,57,5402.21,427.03
CP-12340,Christine Phan,Corporate,East,8,59,5888.26,-1850.3
CR-12580,Clay Rozendal,Home Office,West,4,32,2148.79,74.4
CR-12625,Corey Roper,Home Office,East,3,14,475.9,144.76
CR-12730,Craig Reiter,Consumer,East,4,18,1600.54,306.92
CR-12820,Cyra Reiten,Home Office,East,3,26,1397.84,83.27
CS-11845,Cari Sayre,Corporate,West,5,22,1278.92,185.38
CS-11860,Cari Schnelling,Consumer,East,6,16,537.65,105.83
CS-11950,Carlos Soltero,Consumer,East,11,68,3036.45,-126.42
CS-12130,Chad Sievert,Consumer,West,4,28,884.62,143.83
CS-12175,Charles Sheldon,Corporate,West,5,30,844.45,113.14
CS-12250,Chris Selesnick,Corporate,West,12,97,2754.17,738.36
CS-12355,Christine Sundaresam,Consumer,South,11,74,3202.09,831.94
CS-12400,Christopher Schild,Home Office,South,9,47,3651.79,-342.8
CS-12460,Chuck Sachs,Consumer,East,2,13,550.62,156.26
CS-12490,Cindy Schnelling,Corporate,East,4,33,1077.24,-302.88
CS-12505,Cindy Stewart,Consumer,West,6,40,5690.07,-6626.39
CT-11995,Carol Triggs,Consumer,Central,8,60,3241.84,161.23
CV-12295,Christina VanderZanden,Consumer,West,5,54,2830.61,493.09
CV-12805,Cynthia Voltz,Corporate,Central,9,62,2370.39,99.0
CW-11905,Carl Weiss,Home Office,West,6,40,1136.59,370.83
CY-12745,Craig Yedwab,Corporate,West,8,43,2899.99,60.65
Co-12640,Corey-Lock,Consumer,Central,5,30,1300.04,205.63
DA-13450,Dianna Arnett,Home Office,East,4,27,156.72,56.79
DB-12910,Daniel Byrd,Home Office,South,8,47,2171.56,431.37
DB-12970,Darren Budd,Corporate,West,5,43,2839.2,213.0
DB-13060,Dave Brooks,Consumer,Central,7,48,4531.63,473.03
DB-13120,David Bremer,Corporate,West,7,59,2973.06,-1421.77
DB-13210,Dean Braden,Consumer,Central,10,75,2332.55,169.97
DB-13270,Deborah Brumfield,Home Office,West,8,52,4655.88,841.83
DB-13360,Dennis Bolton,Home Office,East,5,28,1081.41,291.01
DB-13405,Denny Blanton,Consumer,East,4,62,1711.71,438.91
DB-13555,Dorothy Badders,Corporate,South,7,61,3908.9,109.33
DB-13615,Doug Bickford,Consumer,West,7,41,1989.0,438.8
DB-13660,Duane Benoit,Consumer,East,7,33,1155.23,177.67
DC-12850,Dan Campbell,Consumer,South,9,64,3336.06,-1441.63
DC-13285,Debra Catini,Consumer,South,5,37,1174.58,132.07
DD-13570,Dorothy Dickinson,Consumer,Central,6,33,269.53,36.43
DE-13255,Deanra Eno,Home Office,East,5,38,2550.84,464.47
DF-13135,David Flashing,Consumer,Central,3,23,2390.53,-259.31
DG-13300,Deirdre Greer,Corporate,East,5,39,3195.78,562.78
DH-13075,Dave Hallsten,Corporate,West,6,81,4932.86,1193.74
DH-13675,Duane Huffman,Home Office,South,4,41,1043.04,116.67
DJ-13420,Denny Joy,Corporate,West,4,20,2012.52,483.04
DJ-13510,Don Jones,Corporate,South,8,52,2501.67,345.25
DJ-13630,Doug Jacobs,Consumer,East,3,43,3356.36,731.56
DK-12835,Damala Kotsonis,Corporate,West,12,86,3256.43,881.12
DK-12895,Dana Kaydos,Consumer,Central,5,65,4282.15,937.65
DK-12985,Darren Koutras,Consumer,South,5,32,1687.05,-107.35
DK-13090,Dave Kipp,Consumer,South,7,33,2650.54,536.39
DK-13150,David Kendrick,Corporate,East,2,20,797.81,249.94
DK-13225,Dean Katz,Corporate,East,9,70,4802.33,209.9
DK-13375,Dennis Kane,Consumer,West,8,77,3318.46,377.08
DL-12865,Dan Lawera,Consumer,West,8,51,1503.03,322.24
DL-12925,Daniel Lacy,Consumer,Central,6,43,3272.21,4.21
DL-13315,Delfina Latchford,Consumer,East,8,74,1458.17,288.87
DL-13330,Denise Leinenbach,Consumer,Central,4,32,584.98,222.68
DL-13495,Dionis Lloyd,Corporate,West,8,33,3539.31,-52.79
DM-12955,Dario Medina,Corporate,Central,7,28,1322.01,108.76
DM-13015,Darrin Martin,Consumer,East,7,87,6344.96,1677.39
DM-13345,Denise Monton,Corporate,East,8,41,4074.44,1319.06
DM-13525,Don Miller,Corporate,East,3,33,1376.78,199.77
DN-13690,Duane Noonan,Consumer,West,7,41,2139.77,540.54
DO-13435,Denny Ordway,Consumer,West,9,48,1299.99,-38.91
DO-13645,Doug O'Connell,Consumer,East,7,36,1267.26,294.07
DP-13000,Darren Powers,Consumer,Central,9,58,1050.59,241.45
DP-13105,Dave Poirier,Corporate,West,8,63,2214.86,563.18
DP-13165,David Philippe,Consumer,East,2,20,1058.59,-40.94
DP-13390,Dennis Pardue,Home Office,West,9,50,5480.7,1571.83
DR-12880,Dan Reichenbach,Corporate,East,9,103,6527.94,1641.86
DR-12940,Daniel Raglin,Home Office,East,8,57,8350.83,2869.08
DS-13030,Darrin Sayre,Home Office,West,4,54,1762.15,193.33
DS-13180,David Smith,Corporate,Central,9,68,2881.74,163.7
DV-13045,Darrin Van Huff,Corporate,South,5,28,1119.48,-427.18
DV-13465,Dianna Vittorini,Consumer,West,6,62,3341.56,353.21
