customer_id,customer_name,email,registration_date,customer_type,is_duplicate
1,Allison Hill,donaldgarcia@example.net,2026-04-12,REGULAR,False
2,Javier Johnson,jesseguzman@example.net,2024-03-13,REGULAR,False
3,Kimberly Robinson,lisa02@example.net,2024-11-14,PREMIUM,False
4,Daniel Gallagher,daviscolin@example.com,2025-05-31,REGULAR,False
5,Monica Herrera,smiller@example.net,2025-06-16,REGULAR,False
6,Laura Bush,stanleykendra@example.org,2026-03-03,REGULAR,False
7,Jamie Chavez,francisco53@example.net,2024-05-27,REGULAR,False
8,Maria Lynch,amandasanchez@example.com,2024-09-27,REGULAR,False
9,Margaret Hawkins DDS,perezantonio@example.com,2024-10-21,REGULAR,False
10,Thomas Bradley,jason76@example.net,2024-12-23,REGULAR,False
11,David Hoffman,julie69@example.com,2024-09-08,PREMIUM,False
12,Brenda Snyder PhD,hernandezernest@example.net,2024-11-13,REGULAR,False
13,James Ferrell,tasha01@example.net,2026-04-04,REGULAR,False
14,Patricia Peterson,ryan70@example.net,2026-03-25,REGULAR,False
15,Jonathan White,harrellkenneth@example.net,2025-02-15,PREMIUM,False
16,James Martin,georgetracy@example.org,2026-05-23,PREMIUM,False
17,Sandra Parker,allenashley@example.org,2023-11-10,VIP,False
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-25,REGULAR,False
19,Jenny Lewis,jenniferross@example.net,2025-07-21,PREMIUM,False
20,Joseph Martinez,calebsmith@example.net,2024-04-17,REGULAR,False
21,Benjamin Welch,carlosjohnson@example.com,2023-10-25,REGULAR,False
22,Michael Lewis,jenniferkhan@example.net,2025-01-08,REGULAR,False
23,Rhonda Lee,hopkinsmichael@example.com,2025-01-01,REGULAR,False
24,Megan Joyce,brownjessica@example.org,2024-05-07,REGULAR,False
25,Jerry Henderson,steven17@example.net,2023-11-24,REGULAR,False
26,Kimberly Smith,housemelinda@example.org,2024-10-27,REGULAR,False
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-06-16,VIP,False
28,Monica Logan,smoore@example.org,2026-07-05,PREMIUM,False
29,Kimberly Adkins,williamsthomas@example.net,2024-01-28,PREMIUM,False
30,Angela Lopez,leonardjoe@example.org,2026-06-05,REGULAR,False
31,Lauren Williams,barnesbrandy@example.net,2024-07-20,PREMIUM,False
32,Michael Edwards,randy47@example.com,2026-05-23,PREMIUM,False
33,Alexandra Howell,jonesjason@example.com,2024-01-01,PREMIUM,False
34,Benjamin Sanchez,eric84@example.net,2026-07-22,REGULAR,False
35,Kendra Contreras,sarah12@example.com,2023-12-13,REGULAR,False
36,Juan Nelson,jenniferharris@example.net,2026-02-28,VIP,False
37,Danielle Odonnell,davisrodney@example.com,2023-09-26,REGULAR,False
38,Carlos Whitney,joycearnold@example.com,2025-04-14,REGULAR,False
39,Tony Vazquez,amydavenport@example.net,2025-04-05,REGULAR,False
40,Andrew Diaz,nolanjason@example.org,2025-08-08,REGULAR,False
41,Justin Baxter,sarayoung@example.org,2026-07-13,REGULAR,False
42,Sierra Johnson,kimberly63@example.com,2024-01-30,PREMIUM,False
43,Janet Williams,dwalker@example.com,2024-07-08,REGULAR,False
44,Crystal Johnson,raymondramirez@example.org,2026-07-03,REGULAR,False
45,Martin Ross,sheila14@example.org,2025-05-06,REGULAR,False
46,Mrs. Linda Reed,samuel81@example.com,2026-04-20,PREMIUM,False
47,Andrew Graham,michaeljones@example.net,2026-05-14,REGULAR,False
48,Mary Martinez,william65@example.com,2025-09-11,REGULAR,False
49,Cheryl Ortega,lbyrd@example.net,2025-04-23,REGULAR,False
50,Roy Torres,russellcarpenter@example.net,2024-07-27,PREMIUM,False
51,Michael Dixon,michael.dixon,2025-12-25,PREMIUM,False
52,Nancy Hopkins,zachary95@example.org,2026-01-21,REGULAR,False
53,Megan Walker,dylanwilliams@example.com,2025-06-08,REGULAR,False
54,Joy Mercado,jennifercruz@example.com,2024-05-02,REGULAR,False
55,Abigail Potter,osbornejeffery@example.net,2025-02-26,PREMIUM,False
56,David Charles,danderson@example.net,2025-03-13,REGULAR,False
57,Emily Fischer,usalazar@example.net,2024-11-18,VIP,False
58,Jill Moore,wcole@example.org,2026-02-14,REGULAR,False
59,Richard Washington,joshuajones@example.com,2024-04-22,PREMIUM,False
60,Steven Miller,jessebenson@example.net,2024-03-30,PREMIUM,False
61,Gary Owens,clarkrobert@example.net,2026-06-10,PREMIUM,False
62,Spencer Johnston,wsmith@example.com,2025-11-11,REGULAR,False
63,Tiffany Barnes,tracynelson@example.com,2023-09-09,REGULAR,False
64,Michael Powell,marycalhoun@example.net,2025-03-16,PREMIUM,False
65,Leslie Alvarado,dayderek@example.com,2024-02-24,REGULAR,False
66,Garrett Gibson,kathleen64@example.com,2024-05-11,PREMIUM,False
67,Alec Ryan,jeffrey10@example.org,2026-06-14,REGULAR,False
68,Alex Hernandez,thomaswilson@example.org,2024-12-30,REGULAR,False
69,Jacob Obrien,stricklandfrank@example.com,2023-12-05,PREMIUM,False
70,Eric Byrd,tsanders@example.org,2023-10-31,REGULAR,False
71,Lori Garcia,melissa91@example.net,2025-12-13,REGULAR,False
72,Jeffrey Wood,alexander67@example.org,2024-11-26,REGULAR,False
73,Steven Stevens,ryangross@example.net,2024-05-31,REGULAR,False
74,Kimberly Webb,lpetersen@example.com,2024-07-27,REGULAR,False
75,Timothy Ramirez,dsanchez@example.net,2025-06-07,VIP,False
76,Allen Rosales,tonykelly@example.com,2024-08-16,REGULAR,False
77,Meredith Hill,blackjames@example.org,2025-10-06,REGULAR,False
78,Peter Vaughn DDS,bwest@example.org,2024-06-26,REGULAR,False
79,David Beck,thomas85@example.com,2026-08-05,REGULAR,False
80,Heather Chavez,john13@example.com,2023-12-18,REGULAR,False
81,Pamela Lopez,joannahill@example.net,2026-07-14,REGULAR,False
82,Diane Garcia,kennethward@example.com,2023-08-24,PREMIUM,False
83,Denise Mccann,heidi27@example.org,2026-03-22,REGULAR,False
84,Julie Alexander,tammyking@example.com,2023-12-12,REGULAR,False
85,John Ray,hernandezlisa@example.com,2023-11-10,VIP,False
86,Justin Butler,kimberlyjames@example.com,2024-06-29,REGULAR,False
87,Jessica Carroll,lynchjody@example.org,2025-06-24,PREMIUM,False
88,Brad Allen,moorericky@example.net,2025-05-20,REGULAR,False
89,David Mann,ojones@example.com,2025-12-19,REGULAR,False
90,Mary Peck,owilson@example.net,2024-01-19,PREMIUM,False
91,Charles Brown,brooke94@example.com,2023-12-23,VIP,False
92,Melissa Bender,mkim@example.org,2026-04-09,REGULAR,False
93,Lindsey Johnson,suzannehuff@example.net,2025-05-13,PREMIUM,False
94,Phillip Underwood,hinesgregory@example.net,2025-07-23,REGULAR,False
95,Catherine Richards,ecosta@example.com,2024-10-29,REGULAR,False
96,Brian Martin,ssteele@example.net,2026-06-09,REGULAR,False
97,Krista Gibson,johnny16@example.net,2026-01-29,REGULAR,False
98,Sean Murray,lopezmichael@example.com,2025-06-24,REGULAR,False
99,Christina Dunn,samuel71@example.org,2026-07-10,VIP,False
100,Cynthia Moore,tranchristopher@example.org,2024-12-26,VIP,False
101,Ronnie Jimenez,william46@example.com,2026-07-18,PREMIUM,False
102,Juan Reyes,michellehill@example.com,2024-08-15,REGULAR,False
103,Debra Smith,mary97@example.org,2024-12-10,REGULAR,False
104,Mr. Phillip Bennett,molly39@example.com,2024-04-20,REGULAR,False
105,Amanda Garner,qhughes@example.net,2026-07-18,REGULAR,False
106,Andrew Shaw MD,sawyerscott@example.net,2026-05-02,REGULAR,False
107,Charles Pitts,charlesharrington@example.com,2024-08-14,VIP,False
108,Marie Christian,ofinley@example.net,2026-04-07,REGULAR,False
109,Joshua Williamson II,wendy16@example.org,2025-11-19,REGULAR,False
110,Ashlee Jackson,rebecca05@example.org,2024-06-25,VIP,False
111,Charles Schmidt,georgemiller@example.com,2025-06-18,REGULAR,False
112,Thomas Thomas,dlittle@example.com,2025-08-08,REGULAR,False
113,Julie Roberts,charleslandry@example.net,2024-07-01,REGULAR,False
114,Melissa Bryant,james67@example.org,2024-04-24,REGULAR,False
115,Laura Haney,andrew64@example.org,2025-04-20,REGULAR,False
116,Natasha Williams,swall@example.org,2025-06-04,REGULAR,False
117,Mark Oliver,courtneyberger@example.net,2023-09-21,REGULAR,False
118,Amanda Diaz,christopherphillips@example.net,2024-11-06,PREMIUM,False
119,Richard Walter,alyssa42@example.com,2026-05-06,REGULAR,False
120,Tracy Phillips,linda71@example.org,2025-11-12,REGULAR,False
121,Michael Craig,zcoffey@example.net,2024-09-12,REGULAR,False
122,Alexis Herrera,vrichardson@example.net,2024-05-22,REGULAR,False
123,Mark Watson,thomasharvey@example.net,2024-08-02,REGULAR,False
124,Maria Reid,tblankenship@example.net,2024-10-29,PREMIUM,False
125,Tracy Torres,pwilson@example.net,2024-01-04,REGULAR,False
126,Michael Paul,umatthews@example.org,2026-04-05,REGULAR,False
127,Sandra Gilbert,antonio53@example.com,2024-12-08,VIP,False
128,Jack Pollard,amy50@example.com,2024-06-06,REGULAR,False
129,Tiffany Holloway,batesdarlene@example.net,2026-07-08,REGULAR,False
130,Gavin Zhang,caseyhubbard@example.org,2025-05-12,PREMIUM,False
