customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2026-04-12,REGULAR
2,Javier Johnson,jesseguzman@example.net,2024-03-13,REGULAR
3,Kimberly Robinson,lisa02@example.net,2024-11-14,PREMIUM
4,Daniel Gallagher,daviscolin@example.com,2025-05-31,REGULAR
5,Monica Herrera,smiller@example.net,2025-06-16,REGULAR
6,Laura Bush,stanleykendra@example.org,2026-03-03,REGULAR
7,Jamie Chavez,francisco53@example.net,2024-05-27,REGULAR
8,Maria Lynch,amandasanchez@example.com,2024-09-27,REGULAR
9,Margaret Hawkins DDS,perezantonio@example.com,2024-10-21,REGULAR
10,Thomas Bradley,jason76@example.net,2024-12-23,REGULAR
11,David Hoffman,julie69@example.com,2024-09-08,PREMIUM
12,Brenda Snyder PhD,hernandezernest@example.net,2024-11-13,REGULAR
13,James Ferrell,tasha01@example.net,2026-04-04,REGULAR
14,Patricia Peterson,ryan70@example.net,2026-03-25,REGULAR
15,Jonathan White,harrellkenneth@example.net,2025-02-15,PREMIUM
16,James Martin,georgetracy@example.org,2026-05-23,PREMIUM
17,Sandra Parker,allenashley@example.org,2023-11-10,VIP
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-25,REGULAR
19,Jenny Lewis,jenniferross@example.net,2025-07-21,PREMIUM
20,Joseph Martinez,calebsmith@example.net,2024-04-17,REGULAR
21,Benjamin Welch,carlosjohnson@example.com,2023-10-25,REGULAR
22,Michael Lewis,jenniferkhan@example.net,2025-01-08,REGULAR
23,Rhonda Lee,hopkinsmichael@example.com,2025-01-01,REGULAR
24,Megan Joyce,brownjessica@example.org,2024-05-07,REGULAR
25,Jerry Henderson,steven17@example.net,2023-11-24,REGULAR
26,Kimberly Smith,housemelinda@example.org,2024-10-27,REGULAR
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-06-16,VIP
28,Monica Logan,smoore@example.org,2026-07-05,PREMIUM
29,Kimberly Adkins,williamsthomas@example.net,2024-01-28,PREMIUM
30,Angela Lopez,leonardjoe@example.org,2026-06-05,REGULAR
31,Lauren Williams,barnesbrandy@example.net,2024-07-20,PREMIUM
32,Michael Edwards,randy47@example.com,2026-05-23,PREMIUM
33,Alexandra Howell,jonesjason@example.com,2024-01-01,PREMIUM
34,Benjamin Sanchez,eric84@example.net,2026-07-22,REGULAR
35,Kendra Contreras,sarah12@example.com,2023-12-13,REGULAR
36,Juan Nelson,jenniferharris@example.net,2026-02-28,VIP
37,Danielle Odonnell,davisrodney@example.com,2023-09-26,REGULAR
38,Carlos Whitney,joycearnold@example.com,2025-04-14,REGULAR
39,Tony Vazquez,amydavenport@example.net,2025-04-05,REGULAR
40,Andrew Diaz,nolanjason@example.org,2025-08-08,REGULAR
41,Justin Baxter,sarayoung@example.org,2026-07-13,REGULAR
42,Sierra Johnson,kimberly63@example.com,2024-01-30,PREMIUM
43,Janet Williams,dwalker@example.com,2024-07-08,REGULAR
44,Crystal Johnson,raymondramirez@example.org,2026-07-03,REGULAR
45,Martin Ross,sheila14@example.org,2025-05-06,REGULAR
46,Mrs. Linda Reed,samuel81@example.com,2026-04-20,PREMIUM
47,Andrew Graham,michaeljones@example.net,2026-05-14,REGULAR
48,Mary Martinez,william65@example.com,2025-09-11,REGULAR
49,Cheryl Ortega,lbyrd@example.net,2025-04-23,REGULAR
50,Roy Torres,russellcarpenter@example.net,2024-07-27,PREMIUM
51,Michael Dixon,michael.dixon,2025-12-25,PREMIUM
52,Nancy Hopkins,zachary95@example.org,2026-01-21,REGULAR
53,Megan Walker,dylanwilliams@example.com,2025-06-08,REGULAR
54,Joy Mercado,jennifercruz@example.com,2024-05-02,REGULAR
55,Abigail Potter,osbornejeffery@example.net,2025-02-26,PREMIUM
56,David Charles,danderson@example.net,2025-03-13,REGULAR
57,Emily Fischer,usalazar@example.net,2024-11-18,VIP
58,Jill Moore,wcole@example.org,2026-02-14,REGULAR
59,Richard Washington,joshuajones@example.com,2024-04-22,PREMIUM
60,Steven Miller,jessebenson@example.net,2024-03-30,PREMIUM
61,Gary Owens,clarkrobert@example.net,2026-06-10,PREMIUM
62,Spencer Johnston,wsmith@example.com,2025-11-11,REGULAR
63,Tiffany Barnes,tracynelson@example.com,2023-09-09,REGULAR
64,Michael Powell,marycalhoun@example.net,2025-03-16,PREMIUM
65,Leslie Alvarado,dayderek@example.com,2024-02-24,REGULAR
66,Garrett Gibson,kathleen64@example.com,2024-05-11,PREMIUM
67,Alec Ryan,jeffrey10@example.org,2026-06-14,REGULAR
68,Alex Hernandez,thomaswilson@example.org,2024-12-30,REGULAR
69,Jacob Obrien,stricklandfrank@example.com,2023-12-05,PREMIUM
70,Eric Byrd,tsanders@example.org,2023-10-31,REGULAR
71,Lori Garcia,melissa91@example.net,2025-12-13,REGULAR
72,Jeffrey Wood,alexander67@example.org,2024-11-26,REGULAR
73,Steven Stevens,ryangross@example.net,2024-05-31,REGULAR
74,Kimberly Webb,lpetersen@example.com,2024-07-27,REGULAR
75,Timothy Ramirez,dsanchez@example.net,2025-06-07,VIP
76,Allen Rosales,tonykelly@example.com,2024-08-16,REGULAR
77,Meredith Hill,blackjames@example.org,2025-10-06,REGULAR
78,Peter Vaughn DDS,bwest@example.org,2024-06-26,REGULAR
79,David Beck,thomas85@example.com,2026-08-05,REGULAR
80,Heather Chavez,john13@example.com,2023-12-18,REGULAR
81,Pamela Lopez,joannahill@example.net,2026-07-14,REGULAR
82,Diane Garcia,kennethward@example.com,2023-08-24,PREMIUM
83,Denise Mccann,heidi27@example.org,2026-03-22,REGULAR
84,Julie Alexander,tammyking@example.com,2023-12-12,REGULAR
85,John Ray,hernandezlisa@example.com,2023-11-10,VIP
86,Justin Butler,kimberlyjames@example.com,2024-06-29,REGULAR
87,Jessica Carroll,lynchjody@example.org,2025-06-24,PREMIUM
88,Brad Allen,moorericky@example.net,2025-05-20,REGULAR
89,David Mann,ojones@example.com,2025-12-19,REGULAR
90,Mary Peck,owilson@example.net,2024-01-19,PREMIUM
91,Charles Brown,brooke94@example.com,2023-12-23,VIP
92,Melissa Bender,mkim@example.org,2026-04-09,REGULAR
93,Lindsey Johnson,suzannehuff@example.net,2025-05-13,PREMIUM
94,Phillip Underwood,hinesgregory@example.net,2025-07-23,REGULAR
95,Catherine Richards,ecosta@example.com,2024-10-29,REGULAR
96,Brian Martin,ssteele@example.net,2026-06-09,REGULAR
97,Krista Gibson,johnny16@example.net,2026-01-29,REGULAR
98,Sean Murray,lopezmichael@example.com,2025-06-24,REGULAR
99,Christina Dunn,samuel71@example.org,2026-07-10,VIP
